;,,,,,,,,,,,,,,
TABLE WhseCECStd22080012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7or3b,Zn_Office,2573.107,1286.553,-99996,,,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys9,Zn_FineStorage,6148.375,-99996,-99996,,,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,27448.85,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd22080012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Office_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,72948.448,76107.889,-99996,-99996,11,2,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd22080012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Office_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,79267.331,76107.889,0,-99996,-99996,,,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,n/a,339129.05,339129.05,0,-99996,0.81,,,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,n/a,1455834.838,1455834.838,0,-99996,0.81,,,,,
Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,58979.038,58979.038,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd22080012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
Office_SupplyFan,BaseSys7or3b SupFan,VariableSpeedDrive,BaseAirSys7or3b,n/a,2573.107,1286.553,0.65,PowerPerUnitFlow,3.684,2.298,3,InAirStream,0.895,0.744
FineStorage_SupplyFan,BaseSys9 SupFan,ConstantVolume,BaseAirSys9,n/a,6148.375,-99996,0.65,PowerPerUnitFlow,3.07,4.576,5,InAirStream,0.895,0.62
BulkStorage_SupplyFan,BaseSys9 SupFan-2,ConstantVolume,BaseAirSys9-2,n/a,27448.85,-99996,0.65,PowerPerUnitFlow,3.133,20.847,25,InAirStream,0.936,0.605
ENDTABLE,,,,,,,,,,,,,,
TABLE WhseCECStd22080012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
Office_OACtrl,BaseSys7or3b OACtrl,FixedDryBulb,BaseAirSys7or3b,Integrated,,,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
